login;Apellido1;Apellido2;Nombre;DNI;Movil;Fijo;Calle;Localidad;CP;Provincia;Correo;Puesto;Departamento
aaira;AIRA;PASCUAL;ANDREA;38570590G;674933181;958195374;Calle Marie Curie, 6;Onteniente;46009;Valencia;aaira@fpmislata.fp;Administrador de sistemas;Administración de Sistemas
malsliman;ALSLIMAN;GIL;MARIA;67606549G;618283577;952233724;Calle Ada Lovelace, 50;Ollería;46004;Valencia;malsliman@fpmislata.fp;Becario;Administración de Sistemas
largandoña;ARGANDOÑA;FONFRIA;LETICIA;88056023V;655079466;942416452;Calle Agustí Centelles Ossó, 18;Albaida;46017;Valencia;largandoña@fpmislata.fp;Becario;Administración de Sistemas
aasensio;ASENSIO;TESTON;ANA;75429927R;694208821;944693072;Calle Alejandra Soler, 15;Benigánim;46017;Valencia;aasensio@fpmislata.fp;Gerente;Administración de Sistemas
layala;AYALA;GOMEZ;LUCIA;28958881H;685448621;956390728;Calle Antonio Ballester Villaseca, 38;Ayelo de Malferit;46010;Valencia;layala@fpmislata.fp;Pintura;Mantenimiento
hbailen;BAILEN;RAMIAO;HECTOR;82252677P;674935904;986940965;Avenida Amado Granell, 2;Bocairente;46021;Valencia;hbailen@fpmislata.fp;Analista programador;Desarrollo
vbajo;BAJO;LAGUARDA;VICTORIA;6615675R;681389025;912935992;Avenida del Oeste, 1;Puebla del Duc;46022;Valencia;vbajo@fpmislata.fp;Analista programador;Desarrollo
lbalanta;BALANTA;NUEVAS;LORENA;26298439D;645536971;926397196;Calle Andreu Alfaro, 20;Agullent;46011;Valencia;lbalanta@fpmislata.fp;Electricidad;Mantenimiento
lbarbosa;BARBOSA;FERRAGUD;LAURA;63817582B;647774600;947411677;Calle de a Fotografía, 30;Luchente;46023;Valencia;lbarbosa@fpmislata.fp;Analista;Desarrollo
jbarcelo;BARCELO;DIAZ;JAVIER;60285199Z;678769820;951395293;Calle de la Cultura, 7;Castellón de Rugat;46024;Valencia;jbarcelo@fpmislata.fp;Analista;Desarrollo
lbarea;BAREA;FREY;LUIS;99673603K;646855268;964696439;Calle de la Democracia, 21;Cuatretonda;46025;Valencia;lbarea@fpmislata.fp;Gerente;Desarrollo
ebastida;BASTIDA;CRESPO;EMPAR;56150581Z;640564664;948521385;Calle de la Literatura, 28;Montaberner;46010;Valencia;ebastida@fpmislata.fp;Electricidad;Mantenimiento
lbernabe;BERNABE;GARCIA;LYDIA;4575410C;671718803;989136881;Calle de la Poesía, 27;Alfarrasí;46005;Valencia;lbernabe@fpmislata.fp;Becario;Desarrollo
lboix;BOIX;FERNANDEZ;LAURA;12209007D;654236659;983751961;Calle de la Solidaritat, 8;Adzaneta de Albaida;46006;Valencia;lboix@fpmislata.fp;Administrador de sistemas;Administración de Sistemas
aboluda;BOLUDA;MATA;ANA;66478734V;655401008;942504459;Calle del Cine, 29;Fontanares;46005;Valencia;aboluda@fpmislata.fp;Becario;Desarrollo
mbujan;BUJAN;GARCIA;MIQUEL;18506557K;620869955;969614451;Carrer dels Jurats, 11;Bélgida;46006;Valencia;mbujan@fpmislata.fp;Administrador de sistemas;Administración de Sistemas
jburillo;BURILLO;ARANDIA;JEANNINE;67670554T;678327867;965340407;Calle Castelló de la Albufera, 4;El Palomar;46003;Valencia;jburillo@fpmislata.fp;Programador Junior;Desarrollo
lcamejo;CAMEJO;CARMONA;LOURDES;34005791S;684138276;927891963;Calle Concepció Aleixandre, 49;Montichelvo;46005;Valencia;lcamejo@fpmislata.fp;Becario;Administración de Sistemas
lcarbonell;CARBONELL;DUTRA;LAURA;74552008S;664392852;943260440;Calle Elena Just Castrillo, 41;Benicolet;46003;Valencia;lcarbonell@fpmislata.fp;Programador Junior;Desarrollo
fcarmona;CARMONA;MARTINEZ;FRANCISCO;98041098X;691784129;933042431;Calle Emilia Pardo Bazán, 31;Guadasequies;46006;Valencia;fcarmona@fpmislata.fp;Administrador de sistemas;Administración de Sistemas
lcarrascosa;CARRASCOSA;IZQUIERDO;LAURA;24605008E;652899217;967835216;Calle Empar Navarro i Giner, 43;Ráfol de Salem;46006;Valencia;lcarrascosa@fpmislata.fp;Administrador de sistemas;Administración de Sistemas
rcasero;CASERO;HUGUET;RAQUEL;28853275M;632131765;915879567;Calle Enriqueta Agut Armer, 48;Otos;46009;Valencia;rcasero@fpmislata.fp;Administrador de sistemas;Administración de Sistemas
kchamorro;CHAMORRO;CARRETERO;KAREN;6526686E;694220150;924953510;Calle Félix del Río, 5;Benisoda;46009;Valencia;kchamorro@fpmislata.fp;Administrador de sistemas;Administración de Sistemas
mchimbo;CHIMBO;GRAU;MARIA;31878365C;658219514;910076115;Calle Francisco Javier Goerlich, 39;Salem;46009;Valencia;mchimbo@fpmislata.fp;Administrador de sistemas;Administración de Sistemas
ccobos;COBOS;GUERRA;CLAUDIO;60318868B;666054507;946476445;Calle Frederica Montseny, 33;Bellús;46009;Valencia;ccobos@fpmislata.fp;Administrador de sistemas;Administración de Sistemas
pcotillas;COTILLAS;ALVAREZ;PILAR;41965828M;696339957;957868899;Calle Gloria Fuertes, 23;Terrateig;46009;Valencia;pcotillas@fpmislata.fp;Administrador de sistemas;Administración de Sistemas
jcotillas;COTILLAS;CABRERA;JESSICA;17139555R;638172798;964572352;Calle Grup Parpalló, 24;Beniatjar;46001;Valencia;jcotillas@fpmislata.fp;Jefe de Prácticas;Administración
acozar;COZAR;MAIDANA;AGUSTIN;22583968S;613385730;937080920;Calle Jerónima Galés, 17;Benisuera;46001;Valencia;acozar@fpmislata.fp;Programador Junior;Desarrollo
mcuenca;CUENCA;CARDOZO;MARIA;88994775R;672113212;925873949;Calle Joan Fuster, 19;Bufali;46001;Valencia;mcuenca@fpmislata.fp;Programador Junior;Desarrollo
jcuesta;CUESTA;VALLS;JOSEFA;63442780V;655228844;938587798;Calle Joan Reixach, 37;Rugat;46001;Valencia;jcuesta@fpmislata.fp;Programador Junior;Desarrollo
jcuevas;CUEVAS;FERNANDEZ;JOSE;10731171S;648697451;944907233;Calle Just Ramírez, 16;Pinet;46001;Valencia;jcuevas@fpmislata.fp;Programador Junior;Desarrollo
sdelgado;DELGADO;KULYK;SILVIA;4826134K;673605625;922937995;Calle Konrad Rudolf, 42;Ayelo de Rugat;46009;Valencia;sdelgado@fpmislata.fp;Contabilidad;Administración
